id,reward_rule_id,mcc_code,match_type
9f5b2177-bb29-5dd9-966e-8f9921226500,a5e838d4-7082-54c1-8479-cdfe8b353619,5812,eligible
658d9fbf-24cf-5056-9842-382da3a7735c,a5e838d4-7082-54c1-8479-cdfe8b353619,5813,eligible
1ad86893-a35a-5389-ab1c-dade4dbc9fe4,a5e838d4-7082-54c1-8479-cdfe8b353619,5814,eligible
64f4d657-94d2-5218-b5e7-bbe45f1b3cbf,637c7e2e-6ac1-52d6-86fa-15b189a63dce,5300,eligible
06c4f98c-c234-572c-b6c7-6782f4fcf3db,637c7e2e-6ac1-52d6-86fa-15b189a63dce,5411,eligible
0842bd32-0edf-558c-9761-63a401ef9bd4,637c7e2e-6ac1-52d6-86fa-15b189a63dce,5499,eligible
eeb0ec53-a2c0-5056-97c2-68204c0f5be5,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,0742,eligible
48a2c12b-48da-564f-8cea-ae19b27e180e,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,0763,eligible
a0b3661c-4788-50cb-913d-8e2b35a1efc2,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,0780,eligible
5845c844-05a3-5b40-bf8d-14bbdb8d4c2d,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,1520,eligible
9bb1cbfb-b4b7-55b3-a877-44ec7e15fff5,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,1711,eligible
deb1ec7a-2cd3-586f-aabb-ddd0342f2d5e,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,1731,eligible
98a1b87f-3cea-57c6-9eb8-9d99dd293d12,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,1740,eligible
ac6148a0-60b1-5f0e-9750-92702d2abd1a,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,1750,eligible
8b3fa47a-76a8-5bc8-91ab-e43e7f7a92f5,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,1761,eligible
13712cdc-8c37-5611-a550-dbe96f7067d1,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,1771,eligible
1be5ff7d-baa5-5a23-b62f-edf7b0bc71a7,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,1799,eligible
7a9d8295-1484-51a2-a299-ca4b52183930,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,2741,eligible
83d0b00d-a4f0-5628-804e-a35127c9d52a,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,2791,eligible
5f0c8852-04eb-5927-915e-eac9a3b614c0,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,2842,eligible
6dd3a49b-3ce9-5619-9a5a-49391533f931,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,3002,eligible
1a1a3bcc-a72a-5a58-803b-b5d717c5a069,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,3003,eligible
11c00b92-64c5-5445-8db3-ae458d17587c,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,3005,eligible
075ca92d-3dd9-54e9-9e2d-3dcb233af188,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,3006,eligible
103724f5-a097-51ac-9930-1a2be886a2e7,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,3007,eligible
a3e51e80-5981-5c0a-9cd9-cb6f2f6bd128,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,3009,eligible
63d14fc5-5404-5156-be72-bace67a5471b,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,3011,eligible
e3c8094b-d407-58d8-ae97-9167eac7d845,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,3012,eligible
dd574400-5295-57da-9656-40bfdde9b68e,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,3013,eligible
436af4b8-66f8-523a-9c1c-469a122f1f26,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,3015,eligible
018138a5-06dc-58f9-8c0c-e56fb3741dbb,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,3016,eligible
8d10137e-2a6b-54f1-86a2-f66101470f9e,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,3017,eligible
750000cd-4315-5d92-a7c5-506b407e7234,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,3018,eligible
078bfe6a-46ee-5322-9200-d4452d118adb,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,3019,eligible
546aa95e-4679-5b43-9232-4f9a3bce0f9e,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,3020,eligible
95e05be7-ec8d-58b2-98e6-00c44cfc00b8,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,3021,eligible
f13aed93-58af-5c0e-beb3-8887557b1168,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,3023,eligible
1ba247d2-e369-56f6-99c7-bd26cea6712f,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,3024,eligible
7d696690-1e29-5943-985e-6f4108515dfb,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,3025,eligible
28b756cf-d292-56bf-a912-6f7f4f8534f6,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,3028,eligible
b4ff34de-ca66-59d6-968f-62b2bf3fd8b9,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,3030,eligible
e6356bc6-35d9-5e88-a13f-562b3e6a67ea,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,3031,eligible
6f7d9b5f-2523-5ca8-aa28-b3bbf1a8c54c,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,3032,eligible
42a9e8c9-387b-537b-b1cc-b8ed24a1cba5,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,3034,eligible
3655fc2f-59f9-5583-adfa-de04d588132d,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,3035,eligible
0550dcdb-5285-5ae2-ad0a-d567496baeab,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,3036,eligible
d2638771-48ae-58ae-87a2-8d2ec84ab9e0,fe8870ae-b445-59fa-92e0-00c17fc9bb0e,3037,eligible
