id,swift_code,name,short_name,created_at
2334d773-ca10-5450-ba68-5007791948be,ASCBVNVX,Ngân hàng Á Châu,ACB,2026-06-10T14:29:07+00:00
0f89c5ba-b0c6-5460-8819-210c043b06a0,ABBKVNVX,Ngân hàng An Bình,ABBANK,2026-06-10T14:29:07+00:00
86ba668c-c74f-5bf1-ae8a-bdd7d6c4be93,ANZBVNVX,Ngân hàng ANZ Việt Nam,ANZVL,2026-06-10T14:29:07+00:00
5ce7ab2c-9a48-5025-9186-e7d58a065efd,NASCVNVX,Ngân hàng Bắc Á,Bac A Bank,2026-06-10T14:29:07+00:00
cbd8fd0a-61e1-5d06-91f5-456a853acba1,VCBCVNVX,Ngân hàng Bản Việt,BVBank,2026-06-10T14:29:07+00:00
4c157152-bc17-5404-96ca-0ed343d35898,BVBVVNVX,Ngân hàng Bảo Việt,BAOVIET Bank,2026-06-10T14:29:07+00:00
62e00401-07db-52ff-a4e5-18c3786c022f,CIBBVNVN,Ngân hàng CIMB Việt Nam,CIMB,2026-06-10T14:29:07+00:00
6bf2c215-e979-5912-b913-e4c0b0ec1ca8,ICBVVNVX,Ngân hàng Công thương Việt Nam,VietinBank,2026-06-10T14:29:07+00:00
b06ecb9f-83b7-5968-bcbd-15410eb9dfe5,WBVNVNVX,Ngân hàng Đại Chúng Việt Nam,PVcomBank,2026-06-10T14:29:07+00:00
1914d500-fb10-5233-95cd-3a2a0035f757,GBNKVNVX,Ngân hàng Dầu khí toàn cầu,GPBank,2026-06-10T14:29:07+00:00
a4486eaa-afa8-53b9-9cd8-70a2cba28db7,BIDVVNVX,Ngân hàng Đầu tư và Phát triển Việt Nam,BIDV,2026-06-10T14:29:07+00:00
109cbcfb-8c77-545e-951e-b23b683e9845,SEAVVNVX,Ngân hàng Đông Nam Á,SeABank,2026-06-10T14:29:07+00:00
3b13a3ec-e2f8-5459-a45a-2d2df526b520,MCOBVNVX,Ngân hàng Hàng Hải,MSB,2026-06-10T14:29:07+00:00
8c383d8c-6c7c-5f32-900c-05ebc5af68f2,HLBBVNVX,Ngân hàng Hong Leong Việt Nam,HLBVN,2026-06-10T14:29:07+00:00
d121e0a6-9ba3-5999-ba6c-2a6f24540b56,HSBCVNVX,Ngân hàng HSBC Việt Nam,HSBC,2026-06-10T14:29:07+00:00
363d029b-0bc8-541c-b62f-3c01cc38bce9,IABBVNVX,Ngân hàng Indovina,IVB,2026-06-10T14:29:07+00:00
d2bf6d2f-ec11-5720-9eff-89556321764d,KLBKVNVX,Ngân hàng Kiên Long,Kienlongbank,2026-06-10T14:29:07+00:00
b4490775-e742-56f5-97dc-4acdc9fc6ea9,VTCBVNVX,Ngân hàng Kỹ Thương,Techcombank,2026-06-10T14:29:07+00:00
46274023-51d2-5935-a41a-74166d6ad14b,LVBKVNVX,Ngân hàng Lộc Phát Việt Nam,LVBank,2026-06-10T14:29:07+00:00
afe53faf-fa03-5d09-b132-66dadbe411ee,NAMAVNVX,Ngân hàng Nam Á,Nam A Bank,2026-06-10T14:29:07+00:00
39ddadd7-a220-5e77-b5f2-dcd710d457bc,GTBAVNVX,Ngân hàng Ngoại thương Công nghệ số,VCBNeo,2026-06-10T14:29:07+00:00
263151f4-4cd2-54c6-ab11-45469a1a15b2,BFTVVNVX,Ngân hàng Ngoại Thương Việt Nam,Vietcombank,2026-06-10T14:29:07+00:00
4f79c0b2-9170-5d8e-aa19-c3b9ecacac8e,VBAAVNVX,Ngân hàng NN&PT Nông thôn Việt Nam,Agribank,2026-06-10T14:29:07+00:00
78690708-df1a-5097-9ca1-5743ad213d0b,HDBCVNVX,Ngân hàng Phát triển TPHồ Chí Minh,HDBank,2026-06-10T14:29:07+00:00
5aafe38c-87ee-5e0a-a40d-e99a982bc631,ORCOVNVX,Ngân hàng Phương Đông,OCB,2026-06-10T14:29:07+00:00
43e944e4-64b7-5277-8727-16826e0841e4,VIDPVNV5,Ngân hàng Public Bank Việt Nam,PBVN,2026-06-10T14:29:07+00:00
d4592a62-e954-5269-af60-99b573442f87,MSCBVNVX,Ngân hàng Quân Đội,MB,2026-06-10T14:29:07+00:00
f6b7c7a9-9bae-56f4-9e21-ee52afa2368a,NVBAVNVX,Ngân hàng Quốc dân,NCB,2026-06-10T14:29:07+00:00
36ebfe5a-7d90-55d2-bab8-6b3026df8d2b,VNIBVNVX,Ngân hàng Quốc Tế,VIB,2026-06-10T14:29:07+00:00
503e6768-8e40-5c7f-af70-e03a02fe78ed,SHBAVNVX,Ngân hàng Sài Gòn - Hà Nội,SHB,2026-06-10T14:29:07+00:00
269ce6b4-617b-53a6-bd6e-73512531a42b,SACLVNVX,Ngân hàng Sài Gòn,SCB,2026-06-10T14:29:07+00:00
d9d6149a-e3dc-5e13-8bd5-2c0f69ae846f,SBITVNVX,Ngân hàng Sài Gòn Công Thương,SAIGONBANK,2026-06-10T14:29:07+00:00
f5b6393f-bb65-5372-b2b7-2dfa7567c0bb,SGTTVNVX,Ngân hàng Sài Gòn Thương Tín,Sacombank,2026-06-10T14:29:07+00:00
1706c8db-3ecd-5256-af00-1951c40b5329,SHBKVNVX,Ngân hàng Shinhan Việt Nam,SHBVN,2026-06-10T14:29:07+00:00
62a06134-de40-5c1c-8530-b54430047d9d,EACBVNVX,Ngân hàng Số Vikki,Vikki Bank,2026-06-10T14:29:07+00:00
14d57b1c-a103-5a72-ab88-e3bce4012402,SCBLVNVX,Ngân hàng Standard Chartered Việt Nam,SCBVL,2026-06-10T14:29:07+00:00
77be0e6e-f7b3-56c2-afb1-e56a725dcf32,PGBLVNVX,Ngân hàng Thịnh vượng và Phát triển,PGBank,2026-06-10T14:29:07+00:00
1ea47265-2b02-5157-aa63-714c59a4ff7d,TPBVVNVX,Ngân hàng Tiên Phong,TPBank,2026-06-10T14:29:07+00:00
40af9b43-364c-5cf8-941b-de8ca724855e,UOVBVNVX,Ngân hàng UOB Việt Nam,UOB,2026-06-10T14:29:07+00:00
516e86b4-2b1b-583e-b3be-7965c0fb63b3,VRBAVNVX,Ngân hàng Việt - Nga,VRB,2026-06-10T14:29:07+00:00
fc749dab-4e7a-5eae-b4f8-039d75173660,VNTTVNVX,Ngân hàng Việt Á,VietABank,2026-06-10T14:29:07+00:00
ae47f4ca-4488-5b0c-9a48-cf70588c4e2c,OJBAVNVX,Ngân hàng Việt Nam Hiện Đại,MBV,2026-06-10T14:29:07+00:00
7d24f013-273b-5418-a173-6bf47859d740,VPBKVNVX,Ngân hàng Việt Nam Thịnh Vượng,VPBank,2026-06-10T14:29:07+00:00
a06cdd56-1a28-584f-b6b7-b238eb97b6f9,VNACVNVX,Ngân hàng Việt Nam Thương Tín,Vietbank,2026-06-10T14:29:07+00:00
66dcd8fa-1313-5f7e-b21e-8c351ce4da5a,HVBKVNVX,Ngân hàng Woori Việt Nam,Woori,2026-06-10T14:29:07+00:00
6a60cc6d-ec2b-52e2-90fa-af0bc75a8d50,EBVIVNVX,Ngân hàng Xuất Nhập Khẩu,Eximbank,2026-06-10T14:29:07+00:00
